lat,lon,eventDate,maximumDepthInMeters,depth,scientificName,basisOfRecord,depth_m,eventDate_parsed
23.8,36.8,1963-03-19/1964-09-21,2187.0,2187.0,Flaccisagitta enflata,HumanObservation,2187.0,
-12.6,45.92,1963-03-19/1964-09-21,3530.0,3530.0,Flaccisagitta enflata,HumanObservation,3530.0,
-14.18,65.28,1963-03-19/1964-09-21,3996.0,3996.0,Flaccisagitta enflata,HumanObservation,3996.0,
-24.6,109.15,1962/1965,3970.0,3970.0,Flaccisagitta enflata,HumanObservation,3970.0,
10.65,75.37,1962/1965,210.0,210.0,Flaccisagitta enflata,HumanObservation,210.0,
-26.57,70.2,1963-03-19/1964-09-21,2780.0,2780.0,Flaccisagitta enflata,HumanObservation,2780.0,
19.28,62.48,1963-03-19/1964-09-21,3484.0,3484.0,Flaccisagitta enflata,HumanObservation,3484.0,
10.32,75.62,1962/1965,210.0,210.0,Flaccisagitta enflata,HumanObservation,210.0,
17.93,84.62,1959/1965,2430.0,2430.0,Flaccisagitta enflata,HumanObservation,2430.0,
15.0346,84.2902,2006,,,Flaccisagitta enflata,HumanObservation,,2006-09-10 00:00:00
-6.8,70.12,1963-03-19/1964-09-21,3745.0,3745.0,Flaccisagitta enflata,HumanObservation,3745.0,
-0.4,54.55,1963-03-19/1964-09-21,4682.0,4682.0,Flaccisagitta enflata,HumanObservation,4682.0,
17.87,85.2,1959/1965,2465.0,2465.0,Flaccisagitta enflata,HumanObservation,2465.0,
0.15,68.98,1963-03-19/1964-09-21,3585.0,3585.0,Flaccisagitta enflata,HumanObservation,3585.0,
-12.2,65.48,1963-03-19/1964-09-21,3555.0,3555.0,Flaccisagitta enflata,HumanObservation,3555.0,
17.3,83.78,1959/1965,2595.0,2595.0,Flaccisagitta enflata,HumanObservation,2595.0,
-24.5,110.0,1962/1965,4938.0,4938.0,Flaccisagitta enflata,HumanObservation,4938.0,
-32.0,110.0,1962/1965,5048.0,5048.0,Flaccisagitta enflata,HumanObservation,5048.0,
23.72,66.35,1963-03-19/1964-09-21,208.0,208.0,Flaccisagitta enflata,HumanObservation,208.0,
12.85,96.57,1959/1965,422.0,422.0,Flaccisagitta enflata,HumanObservation,422.0,
23.95,60.97,1963-03-19/1964-09-21,3330.0,3330.0,Flaccisagitta enflata,HumanObservation,3330.0,
-14.17,74.92,1963-03-19/1964-09-21,4991.0,4991.0,Flaccisagitta enflata,HumanObservation,4991.0,
11.47,65.07,1963-03-19/1964-09-21,4135.0,4135.0,Flaccisagitta enflata,HumanObservation,4135.0,
2.02,88.97,1962/1965,3146.0,3146.0,Flaccisagitta enflata,HumanObservation,3146.0,
4.03,89.0,1962/1965,3310.0,3310.0,Flaccisagitta enflata,HumanObservation,3310.0,
14.3,89.38,1959/1965,2750.0,2750.0,Flaccisagitta enflata,HumanObservation,2750.0,
-17.3,54.38,1963-03-19/1964-09-21,4576.0,4576.0,Flaccisagitta enflata,HumanObservation,4576.0,
9.0,104.97,1962/1965,5669.0,5669.0,Flaccisagitta enflata,HumanObservation,5669.0,
-3.12,40.65,1963-03-19/1964-09-21,420.0,420.0,Flaccisagitta enflata,HumanObservation,420.0,
13.05,50.0,1959/1965,1000.0,1000.0,Flaccisagitta enflata,HumanObservation,1000.0,
-9.35,75.13,1963-03-19/1964-09-21,2975.0,2975.0,Flaccisagitta enflata,HumanObservation,2975.0,
-37.6,110.0,1962/1965,4030.0,4030.0,Flaccisagitta enflata,HumanObservation,4030.0,
-21.95,104.95,1962/1965,3017.0,3017.0,Flaccisagitta enflata,HumanObservation,3017.0,
17.45,70.45,1959/1965,2820.0,2820.0,Flaccisagitta enflata,HumanObservation,2820.0,
-32.87,69.87,1963-03-19/1964-09-21,3931.0,3931.0,Flaccisagitta enflata,HumanObservation,3931.0,
18.0,87.27,1959/1965,3255.0,3255.0,Flaccisagitta enflata,HumanObservation,3255.0,
3.87,74.95,1963-03-19/1964-09-21,2536.0,2536.0,Flaccisagitta enflata,HumanObservation,2536.0,
9.87,75.65,1962/1965,210.0,210.0,Flaccisagitta enflata,HumanObservation,210.0,
12.95,95.02,1959/1965,1829.0,1829.0,Flaccisagitta enflata,HumanObservation,1829.0,
13.83,92.28,1959/1965,1646.0,1646.0,Flaccisagitta enflata,HumanObservation,1646.0,
-30.5,110.0,1962/1965,1125.0,1125.0,Flaccisagitta enflata,HumanObservation,1125.0,
-12.5,110.0,1962/1965,4526.0,4526.0,Flaccisagitta enflata,HumanObservation,4526.0,
11.98,69.92,1959/1965,4300.0,4300.0,Flaccisagitta enflata,HumanObservation,4300.0,
-24.5,110.0,1962/1965,4114.0,4114.0,Flaccisagitta enflata,HumanObservation,4114.0,
-11.0,110.0,1962/1965,5065.0,5065.0,Flaccisagitta enflata,HumanObservation,5065.0,
7.08,49.65,1963-03-19/1964-09-21,196.0,196.0,Flaccisagitta enflata,HumanObservation,196.0,
-11.17,70.03,1963-03-19/1964-09-21,3365.0,3365.0,Flaccisagitta enflata,HumanObservation,3365.0,
-26.0,110.0,1962/1965,3990.0,3990.0,Flaccisagitta enflata,HumanObservation,3990.0,
15.3,57.72,1963-03-19/1964-09-21,3356.0,3356.0,Flaccisagitta enflata,HumanObservation,3356.0,
13.15,82.37,1959/1965,3105.0,3105.0,Flaccisagitta enflata,HumanObservation,3105.0,
-0.03,93.02,1963-03-19/1964-09-21,4398.0,4398.0,Flaccisagitta enflata,HumanObservation,4398.0,
-22.0,100.0,1962/1965,5669.0,5669.0,Flaccisagitta enflata,HumanObservation,5669.0,
10.6,95.65,1959/1965,1000.0,1000.0,Flaccisagitta enflata,HumanObservation,1000.0,
-27.5,110.0,1962/1965,5486.0,5486.0,Flaccisagitta enflata,HumanObservation,5486.0,
-29.0,110.0,1962/1965,5350.0,5350.0,Flaccisagitta enflata,HumanObservation,5350.0,
-41.8,110.0,1962/1965,4014.0,4014.0,Flaccisagitta enflata,HumanObservation,4014.0,
-30.57,69.92,1963-03-19/1964-09-21,3740.0,3740.0,Flaccisagitta enflata,HumanObservation,3740.0,
16.22,63.48,1963-03-19/1964-09-21,3750.0,3750.0,Flaccisagitta enflata,HumanObservation,3750.0,
-27.5,110.0,1962/1965,5577.0,5577.0,Flaccisagitta enflata,HumanObservation,5577.0,
-5.0,89.0,1962/1965,3438.0,3438.0,Flaccisagitta enflata,HumanObservation,3438.0,
-29.37,37.52,1963-03-19/1964-09-21,5014.0,5014.0,Flaccisagitta enflata,HumanObservation,5014.0,
-31.95,111.5,1962/1965,4755.0,4755.0,Flaccisagitta enflata,HumanObservation,4755.0,
6.43,49.77,1963-03-19/1964-09-21,2521.0,2521.0,Flaccisagitta enflata,HumanObservation,2521.0,
-21.5,110.0,1962/1965,4984.0,4984.0,Flaccisagitta enflata,HumanObservation,4984.0,
-0.12,96.52,1963-03-19/1964-09-21,4685.0,4685.0,Flaccisagitta enflata,HumanObservation,4685.0,
-18.88,100.0,1962/1965,5760.0,5760.0,Flaccisagitta enflata,HumanObservation,5760.0,
15.98,86.3,1959/1965,2651.0,2651.0,Flaccisagitta enflata,HumanObservation,2651.0,
22.38,63.53,1963-03-19/1964-09-21,830.0,830.0,Flaccisagitta enflata,HumanObservation,830.0,
10.62,92.98,1959/1965,2195.0,2195.0,Flaccisagitta enflata,HumanObservation,2195.0,
-2.63,65.02,1963-03-19/1964-09-21,4151.0,4151.0,Flaccisagitta enflata,HumanObservation,4151.0,
8.88,53.15,1963-03-19/1964-09-21,4743.0,4743.0,Flaccisagitta enflata,HumanObservation,4743.0,
-30.5,110.0,1962/1965,5249.0,5249.0,Flaccisagitta enflata,HumanObservation,5249.0,
12.25,59.7,1963-03-19/1964-09-21,4279.0,4279.0,Flaccisagitta enflata,HumanObservation,4279.0,
-17.0,110.0,1962/1965,5486.0,5486.0,Flaccisagitta enflata,HumanObservation,5486.0,
-22.1,64.92,1963-03-19/1964-09-21,3983.0,3983.0,Flaccisagitta enflata,HumanObservation,3983.0,
-0.02,87.02,1963-03-19/1964-09-21,4550.0,4550.0,Flaccisagitta enflata,HumanObservation,4550.0,
13.47,97.32,1959/1965,72.0,72.0,Flaccisagitta enflata,HumanObservation,72.0,
-29.0,110.0,1962/1965,2055.0,2055.0,Flaccisagitta enflata,HumanObservation,2055.0,
-28.55,69.93,1963-03-19/1964-09-21,3640.0,3640.0,Flaccisagitta enflata,HumanObservation,3640.0,
0.0,80.93,1963-03-19/1964-09-21,4118.0,4118.0,Flaccisagitta enflata,HumanObservation,4118.0,
